year,state_fips,state_name,total_pop,foreign_born,foreign_born_pct
2017,26,Michigan,9962311,703806,7.06
2017,27,Minnesota,5576606,486243,8.72
2018,55,Wisconsin,5813568,297928,5.12
2018,56,Wyoming,577737,17528,3.03
2018,72,Puerto Rico,3195153,85348,2.67
2018,28,Mississippi,2986530,70860,2.37
2018,29,Missouri,6126452,258390,4.22
2018,30,Montana,1062305,23366,2.2
2018,31,Nebraska,1929268,138953,7.2
2018,32,Nevada,3034392,587686,19.37
2018,33,New Hampshire,1356458,83002,6.12
2018,34,New Jersey,8908520,2033292,22.82
2018,35,New Mexico,2095428,198522,9.47
2018,36,New York,19542209,4447165,22.76
2018,37,North Carolina,10383620,824177,7.94
2018,38,North Dakota,760077,35824,4.71
2018,39,Ohio,11689442,555583,4.75
2018,40,Oklahoma,3943079,236882,6.01
2018,41,Oregon,4190713,432410,10.32
2018,42,Pennsylvania,12807060,922585,7.2
2018,44,Rhode Island,1057315,139063,13.15
2018,45,South Carolina,5084127,256765,5.05
2018,46,South Dakota,882235,35175,3.99
2018,47,Tennessee,6770010,348562,5.15
2018,48,Texas,28701845,4928025,17.17
2018,50,Vermont,626299,30813,4.92
2018,49,Utah,3161105,271222,8.58
2018,51,Virginia,8517685,1065076,12.5
2018,53,Washington,7535591,1104850,14.66
2018,54,West Virginia,1805832,27605,1.53
2018,01,Alabama,4887871,162567,3.33
2018,02,Alaska,737438,60784,8.24
2018,04,Arizona,7171646,960275,13.39
2018,05,Arkansas,3013825,143709,4.77
2018,06,California,39557045,10625980,26.86
2018,08,Colorado,5695564,549181,9.64
2018,10,Delaware,967171,91230,9.43
2018,11,District of Columbia,702455,97846,13.93
2018,09,Connecticut,3572665,520262,14.56
2018,12,Florida,21299325,4475431,21.01
2018,13,Georgia,10519475,1064073,10.12
2018,16,Idaho,1754208,105228,6.0
2018,15,Hawaii,1420491,266147,18.74
2018,17,Illinois,12741080,1791313,14.06
2018,18,Indiana,6691878,354348,5.3
2018,19,Iowa,3156145,175137,5.55
2018,20,Kansas,2911510,209362,7.19
2018,21,Kentucky,4468402,169346,3.79
2018,22,Louisiana,4659978,195027,4.19
2018,23,Maine,1338404,47418,3.54
2018,24,Maryland,6042718,915191,15.15
2018,25,Massachusetts,6902149,1198148,17.36
2018,26,Michigan,9995915,695217,6.96
2018,27,Minnesota,5611179,484192,8.63
2019,28,Mississippi,2976149,63917,2.15
