year,state_fips,state_name,pop_25plus,bachelors_or_higher,bachelors_pct
2016,31,Nebraska,1243820,390972,31.43
2016,32,Nevada,2010610,471775,23.46
2016,33,New Hampshire,947586,346678,36.59
2016,34,New Jersey,6171172,2379802,38.56
2016,35,New Mexico,1391381,378233,27.18
2016,36,New York,13653592,4867812,35.65
2016,37,North Carolina,6877185,2091105,30.41
2016,38,North Dakota,495015,146323,29.56
2016,39,Ohio,7922061,2179681,27.51
2016,40,Oklahoma,2571636,648665,25.22
2016,41,Oregon,2857952,934530,32.7
2016,42,Pennsylvania,8921975,2747737,30.8
2016,44,Rhode Island,734045,250265,34.09
2016,45,South Carolina,3388476,922506,27.22
2016,46,South Dakota,565894,163261,28.85
2016,47,Tennessee,4527198,1182855,26.13
2016,48,Texas,17775280,5135687,28.89
2016,50,Vermont,439563,159855,36.37
2016,49,Utah,1783244,580935,32.58
2016,51,Virginia,5721173,2178685,38.08
2016,53,Washington,4996555,1755710,35.14
2016,54,West Virginia,1291757,268757,20.81
2016,55,Wisconsin,3933329,1160175,29.5
2016,56,Wyoming,390794,105917,27.1
2016,72,Puerto Rico,2372197,599891,25.29
2016,01,Alabama,3300713,815522,24.71
2016,02,Alaska,478951,141577,29.56
2016,04,Arizona,4626409,1335894,28.88
2016,05,Arkansas,1990448,445833,22.4
2016,06,California,26304241,8660470,32.92
2016,08,Colorado,3745506,1492881,39.86
2016,10,Delaware,662547,205069,30.95
2016,11,District of Columbia,480158,272875,56.83
2016,09,Connecticut,2467737,953588,38.64
2016,12,Florida,14703671,4208456,28.62
2016,13,Georgia,6785395,2066276,30.45
2016,16,Idaho,1087265,300410,27.63
2016,15,Hawaii,990937,316593,31.95
2016,17,Illinois,8665219,2942285,33.96
2016,18,Indiana,4392576,1124846,25.61
2016,19,Iowa,2087020,593162,28.42
2016,20,Kansas,1891936,621426,32.85
2016,21,Kentucky,2995509,702341,23.45
2016,22,Louisiana,3115020,727906,23.37
2016,23,Maine,966569,291138,30.12
2016,24,Maryland,4122508,1621129,39.32
2016,25,Massachusetts,4727515,2020346,42.74
2016,26,Michigan,6760402,1909830,28.25
2016,27,Minnesota,3725283,1296984,34.82
2017,28,Mississippi,1959341,428497,21.87
2017,29,Missouri,4150275,1205839,29.05
2017,30,Montana,723666,233817,32.31
2017,31,Nebraska,1259254,398780,31.67
2017,32,Nevada,2063180,513280,24.88
2017,33,New Hampshire,958005,353892,36.94
2017,34,New Jersey,6234538,2476707,39.73
2017,35,New Mexico,1391475,376500,27.06
2017,36,New York,13821132,4980162,36.03
2017,37,North Carolina,6991185,2190679,31.33
2017,38,North Dakota,495904,152439,30.74
2017,39,Ohio,7981885,2231350,27.96
2017,40,Oklahoma,2586414,660536,25.54
2017,41,Oregon,2901195,978417,33.72
2017,42,Pennsylvania,8960842,2817236,31.44
2017,44,Rhode Island,736969,246524,33.45
2017,45,South Carolina,3443851,964340,28.0
2017,46,South Dakota,574559,161738,28.15
2017,47,Tennessee,4588453,1254162,27.33
2017,48,Texas,18149346,5371489,29.6
2017,50,Vermont,439267,168166,38.28
2017,49,Utah,1827035,632442,34.62
2017,51,Virginia,5779221,2237216,38.71
2017,53,Washington,5101968,1811119,35.5
2017,54,West Virginia,1279350,258456,20.2
2017,55,Wisconsin,3958231,1202530,30.38
2017,56,Wyoming,387700,107097,27.62
2017,72,Puerto Rico,2343675,602519,25.71
2017,01,Alabama,3309607,844704,25.52
2017,02,Alaska,481561,138684,28.8
2017,04,Arizona,4711362,1383092,29.36
2017,05,Arkansas,2008398,470114,23.41
2017,06,California,26679273,8976247,33.65
2017,08,Colorado,3822068,1574697,41.2
2017,10,Delaware,673686,212083,31.48
2017,11,District of Columbia,494614,283519,57.32
2017,09,Connecticut,2493854,964607,38.68
2017,12,Florida,15020177,4454492,29.66
2017,13,Georgia,6896026,2131478,30.91
2017,16,Idaho,1111788,297658,26.77
2017,15,Hawaii,997744,328680,32.94
2017,17,Illinois,8707057,2997805,34.43
2017,18,Indiana,4435317,1189458,26.82
2017,19,Iowa,2093909,605820,28.93
2017,20,Kansas,1904528,642742,33.75
2017,21,Kentucky,3018953,723552,23.97
2017,22,Louisiana,3120277,742525,23.8
2017,23,Maine,971740,311607,32.07
2017,24,Maryland,4167604,1652580,39.65
2017,25,Massachusetts,4788573,2078671,43.41
2017,26,Michigan,6819310,1985564,29.12
2017,27,Minnesota,3778416,1362126,36.05
2018,55,Wisconsin,3992022,1198076,30.01
2018,56,Wyoming,393136,105583,26.86
2018,72,Puerto Rico,2288030,610703,26.69
2018,28,Mississippi,1977283,458694,23.2
2018,29,Missouri,4182787,1235894,29.55
2018,30,Montana,735761,233405,31.72
2018,31,Nebraska,1266440,410730,32.43
2018,32,Nevada,2096574,521834,24.89
2018,33,New Hampshire,970748,357579,36.84
2018,34,New Jersey,6189243,2524992,40.8
2018,35,New Mexico,1416481,391712,27.65
2018,36,New York,13672343,5091466,37.24
2018,37,North Carolina,7102144,2266801,31.92
2018,38,North Dakota,500779,148610,29.68
2018,39,Ohio,8027035,2325610,28.97
2018,40,Oklahoma,2607613,668161,25.62
2018,41,Oregon,2952380,1002543,33.96
2018,42,Pennsylvania,8994627,2862482,31.82
2018,44,Rhode Island,740695,254661,34.38
2018,45,South Carolina,3492355,989335,28.33
2018,46,South Dakota,582850,170398,29.24
2018,47,Tennessee,4640823,1275425,27.48
2018,48,Texas,18477097,5600777,30.31
2018,50,Vermont,445824,172589,38.71
2018,49,Utah,1871902,652445,34.85
2018,51,Virginia,5822007,2290457,39.34
2018,53,Washington,5215063,1913104,36.68
2018,54,West Virginia,1280781,273103,21.32
2018,01,Alabama,3337464,852037,25.53
2018,02,Alaska,485353,146428,30.17
2018,04,Arizona,4840304,1438493,29.72
2018,05,Arkansas,2021939,471275,23.31
2018,06,California,26815644,9171076,34.2
2018,08,Colorado,3900287,1625549,41.68
2018,10,Delaware,679700,212992,31.34
2018,11,District of Columbia,500176,302170,60.41
2018,09,Connecticut,2493396,987230,39.59
