District,Incumbent,Party,FiveThirtyEight Partisan Lean (2021 Version),FiveThirtyEight Partisan Lean (2020 Version),Cook PVI,Biden %,Trump %,2020 Pres. Margin,Clinton %,Trump %,2016 Pres. Margin,Obama %,Romney %,2012 Pres. Margin,Obama %,McCain %,2008 Pres. Margin,FiveThirtyEight Elasticity,Non-Hispanic White CVAP,Black CVAP,Hispanic CVAP,Asian CVAP,Median Household Income,% Bachelor's Degree or Higher (25+ Pop.),College-Educated Non-Hispanic White % (25+ Pop.),Non-College Non-Hispanic White % (25+ Pop.),Density Index
CO-1,"DeGette, Diana",D,D+47,D+39,D+21,76%,22%,54%,69%,23%,46%,69%,29%,40%,71%,28%,43%,1.02,68.6%,8.2%,18.2%,2.6%,"$62,195",46.2%,38.6%,26.0%,Urban-suburban mix
CO-2,"Neguse, Joe",D,D+23,D+15,D+9,64%,34%,30%,56%,35%,21%,58%,40%,18%,61%,37%,24%,1.02,87.6%,0.9%,7.4%,2.1%,"$75,021",53.9%,48.6%,37.7%,Sparse suburban
CO-3,"Boebert, Lauren",R,R+12,R+15,R+6,46%,52%,-6%,40%,52%,-12%,46%,52%,-6%,48%,50%,-2%,1.17,77.2%,1.0%,18.5%,0.6%,"$51,456",30.3%,26.9%,49.1%,Pure rural
CO-4,"Buck, Ken",R,R+22,R+27,R+13,41%,57%,-16%,34%,57%,-23%,39%,59%,-19%,42%,56%,-15%,1.08,79.8%,1.2%,15.7%,1.2%,"$71,357",34.5%,30.1%,46.9%,Rural-suburban mix
CO-5,"Lamborn, Doug",R,R+21,R+28,R+14,42%,55%,-13%,33%,57%,-24%,38%,59%,-21%,40%,59%,-19%,1.12,76.9%,5.6%,12.0%,2.0%,"$61,391",35.5%,29.9%,46.4%,Dense suburban
CO-6,"Crow, Jason",D,D+12,D+2,D+2,58%,39%,19%,50%,41%,9%,52%,47%,5%,54%,45%,9%,1.03,71.5%,8.7%,12.7%,4.4%,"$75,962",42.0%,33.3%,33.7%,Dense suburban
CO-7,"Perlmutter, Ed",D,D+15,D+8,D+6,60%,37%,23%,51%,39%,12%,56%,41%,15%,57%,41%,17%,1.16,73.5%,1.6%,20.2%,2.6%,"$65,880",32.4%,27.2%,42.9%,Dense suburban
CT-1,"Larson, John",D,D+21,D+20,D+12,63%,35%,28%,59%,36%,23%,63%,36%,28%,66%,33%,33%,1.10,69.1%,13.5%,13.4%,2.9%,"$69,910",36.9%,28.1%,39.0%,Sparse suburban
CT-2,"Courtney, Joe",D,D+3,D+1,D+3,55%,44%,11%,49%,46%,3%,56%,43%,13%,59%,40%,19%,1.03,86.0%,3.8%,6.2%,2.2%,"$74,427",34.7%,30.9%,54.5%,Rural-suburban mix
CT-3,"DeLauro, Rosa",D,D+14,D+14,D+9,60%,39%,21%,56%,40%,16%,63%,36%,26%,63%,36%,26%,1.13,72.1%,12.8%,11.0%,2.8%,"$66,465",35.9%,27.5%,43.0%,Sparse suburban
CT-4,"Himes, Jim",D,D+22,D+14,D+7,64%,35%,30%,60%,37%,23%,55%,44%,11%,60%,40%,20%,1.08,70.8%,12.2%,12.7%,3.7%,"$92,799",48.7%,38.9%,26.1%,Sparse suburban
CT-5,"Hayes, Jahana",D,D+2.8,D+0.4,D+2,55%,44%,11%,50%,46%,4%,54%,45%,8%,56%,42%,14%,1.12,77.2%,6.5%,12.9%,2.4%,"$71,132",35.8%,30.3%,44.6%,Sparse suburban
DE-1,"Blunt Rochester, Lisa",D,D+14,D+12,D+6,59%,40%,19%,53%,42%,12%,59%,40%,19%,62%,37%,25%,0.84,69.9%,21.2%,5.2%,2.3%,"$63,036",31.0%,22.6%,45.6%,Sparse suburban
FL-1,"Gaetz, Matt",R,R+40,R+44,R+22,32%,66%,-34%,28%,68%,-39%,30%,69%,-38%,32%,67%,-35%,0.90,77.2%,13.0%,4.6%,2.1%,"$53,480",27.1%,22.7%,54.6%,Rural-suburban mix
FL-2,"Dunn, Neal",R,R+40,R+39,R+18,32%,67%,-35%,31%,66%,-36%,34%,65%,-31%,35%,63%,-28%,0.97,79.7%,12.8%,4.5%,1.1%,"$47,146",23.3%,19.2%,60.4%,Rural-suburban mix
FL-3,"Cammack, Kat",R,R+19,R+21,R+9,43%,56%,-13%,40%,56%,-16%,42%,57%,-15%,44%,55%,-10%,0.99,72.9%,15.3%,7.6%,2.3%,"$47,047",26.3%,19.6%,53.0%,Pure rural
FL-4,"Rutherford, John",R,R+28,R+35,R+17,39%,60%,-21%,34%,62%,-28%,33%,66%,-33%,35%,64%,-29%,1.09,79.7%,9.0%,6.2%,3.2%,"$66,753",38.7%,30.9%,47.6%,Sparse suburban
FL-5,"Lawson, Al",D,D+21,D+21,D+12,63%,36%,27%,61%,36%,25%,64%,35%,28%,63%,36%,27%,0.86,44.9%,46.0%,5.5%,1.9%,"$39,667",20.1%,10.5%,34.5%,Sparse suburban
FL-6,"Waltz, Michael",R,R+22,R+18,R+7,41%,58%,-18%,40%,57%,-17%,47%,52%,-6%,50%,49%,1%,0.94,78.4%,9.5%,9.5%,1.3%,"$45,873",23.1%,19.0%,59.8%,Sparse suburban
FL-7,"Murphy, Stephanie",D,D+4.6,R+0.4,EVEN,55%,44%,10%,51%,44%,7%,49%,49%,0%,51%,48%,3%,1.04,64.2%,10.2%,21.0%,3.3%,"$56,681",38.2%,27.2%,35.5%,Sparse suburban
FL-8,"Posey, Bill",R,R+23,R+24,R+11,41%,58%,-18%,38%,58%,-21%,42%,57%,-15%,44%,55%,-11%,1.11,80.4%,8.5%,7.9%,1.6%,"$50,998",28.2%,23.5%,56.2%,Sparse suburban
FL-9,"Soto, Darren",D,D+4,D+7,D+5,53%,46%,7%,55%,42%,13%,56%,43%,12%,55%,45%,10%,0.96,49.8%,12.4%,34.5%,2.6%,"$48,016",22.7%,12.5%,35.5%,Sparse suburban
FL-10,"Demings, Val",D,D+21,D+20,D+11,62%,37%,25%,62%,35%,27%,61%,38%,22%,61%,39%,22%,0.99,44.3%,26.5%,22.7%,4.6%,"$50,380",29.6%,16.2%,25.8%,Sparse suburban
FL-11,"Webster, Dan",R,R+37,R+33,R+15,34%,65%,-32%,33%,65%,-32%,40%,59%,-19%,43%,56%,-14%,1.10,83.7%,6.4%,7.6%,1.0%,"$45,051",20.6%,17.8%,65.8%,Rural-suburban mix
FL-12,"Bilirakis, Gus",R,R+22,R+20,R+8,41%,58%,-17%,39%,57%,-19%,46%,53%,-8%,47%,51%,-4%,1.08,83.0%,4.4%,9.5%,2.0%,"$50,542",26.9%,21.7%,60.5%,Sparse suburban
FL-13,"Crist, Charlie",D,R+1.0,D+0.4,D+2,52%,47%,4%,50%,46%,3%,55%,44%,11%,56%,43%,13%,1.08,77.6%,11.3%,6.7%,2.7%,"$47,370",28.7%,23.6%,53.3%,Dense suburban
FL-14,"Castor, Kathy",D,D+12,D+12,D+7,57%,42%,16%,57%,39%,18%,58%,41%,16%,58%,41%,17%,1.08,53.7%,18.2%,23.7%,3.2%,"$50,891",35.0%,22.5%,27.6%,Dense suburban
FL-15,"Franklin, Scott",R,R+14,R+14,R+6,45%,54%,-9%,43%,53%,-10%,47%,52%,-6%,47%,52%,-5%,1.00,66.3%,13.7%,16.2%,2.4%,"$52,460",24.8%,16.8%,47.6%,Sparse suburban
